worker_index,env_index,episode_id,episode_len,local_ep_idx,pid,demand_total,demand_power_0,demand_power_1,demand_power_2,orders_total,orders_power_0,orders_power_1,orders_power_2,orders_base_u1_total,orders_base_u1_power_0,shipments_total,shipments_power_0,shipments_power_1,shipments_power_2,shipments_fair_total,shipments_fair_power_0,shipments_fair_power_1,shipments_fair_power_2,shipments_base_u_total,shipments_base_u_power_0,shipments_base_u_power_1,shipments_base_u_power_2,shortage_total,shortage_power_0,shortage_power_1,shortage_power_2,served_total,served_power_0,served_power_1,served_power_2,inventory_total,inventory_power_0,inventory_power_1,inventory_power_2,next_inventory_total,next_inventory_power_0,next_inventory_power_1,next_inventory_power_2,fill_rate_total,fill_rate_power_0,fill_rate_power_1,fill_rate_power_2,omega_total,omega_power_0,omega_power_1,omega_power_2,weight_total,weight_power_0,weight_power_1,weight_power_2,price,supply,mu_c,mu_u,g_u,g_c,jain,system_profit_ep,coal_profit_ep,coal_profit_norm_ep,power_profit_total_ep,power_profit_norm_total_ep,shortage_rate,shortage_norm,fairness_penalty,unsold,ep_total_shortage_rate,ep_system_profit,ep_coal_profit_norm_sum,ep_coal_profit_norm_mean,ep_power_profit_norm_total_sum,ep_power_profit_norm_total_mean,ep_shortage_norm_mean,ep_fairness_penalty_mean,ep_avg_jain,ep_inventory_violation_rate,ep_order_cv,ep_demand_cv,ep_bullwhip_ratio,ep_u1_shortage_rate,ep_ordinary_shortage_rate,ep_mean_mu_c,ep_mean_mu_u,ep_mean_g_u,ep_mean_g_c,ep_mean_fill_rate,ep_mean_unsold,ep_mean_trust_u,ep_mean_trust_c
2.0,0.0,583848002.0,156.0,0.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.151611876793397,2.0808626952079625,1.9833689565077806,2.0873802250776534,0.9241689848594177,0.9241689848594177,2.9905954338848972,1.0053161266856852,0.979184431477617,1.0060948757215953,2.9905954338848972,1.0053161266856852,0.979184431477617,1.0060948757215953,2.82738232658579,0.5882355164652929,1.1080515327361913,1.1310952773843057,0.6005069223734049,0.18626834719608992,0.22338077425956726,0.1908578009177477,2.9994930405981646,1.0137316400471788,0.9766192138672639,1.009142186683722,1.8827681388610449,0.5940007712596502,0.5873059446995075,0.7014614229018872,4.873363568113209,1.599316895318528,1.5664903789472122,1.707556293847469,2.0425888906495695,0.6902350113751032,0.6669787153219565,0.6853751639525095,8.666063683919418,2.8974068600397844,2.8013773499391017,2.9672794739405313,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9758838113182744,32.0131445503235,133.49515443801883,44.49838481267294,-101.48200988769531,-101.48200988769531,0.15716736142676105,0.1571673618482674,0.024116188681725628,0.41440454408144334,0.1668074800911701,32.0131445503235,44.49838481267294,0.2852460564914932,-101.48200988769531,-0.6505257044083033,0.1571673618482674,0.024116188681725628,0.9758838113182744,0.8782051282051282,0.5922394210246272,0.16666665792528076,3.5534367125195327,0.15522362419712457,0.17259940803389226,0.0,0.0,0.0,0.0,0.6808629635498564,0.41440454408144334,0.0,0.0
2.0,0.0,896984997.0,156.0,1.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,5.9809772463945245,1.9702404936154683,1.997400620044806,2.0133361327342496,0.8905662519809527,0.8905662519809527,3.0435848470183258,0.9843106421952447,1.0049473443904366,1.0543268604326443,3.0435848470183258,0.9843106421952447,1.0049473443904366,1.0543268604326443,2.873926679738081,0.5448007702540892,1.133383554370644,1.1957423551133475,0.5460367974562522,0.20500076122773,0.2026534038476455,0.13838263238087678,3.0539631673779626,0.9949992266364205,0.9973465851388681,1.061617355602674,2.261684227448243,0.7212800780932108,0.6402240051673009,0.9001801441877316,5.3052690812649255,1.7055907268315935,1.645171348626415,1.9545070058069167,2.097297589939374,0.6993050646896546,0.6954848411946725,0.7025076840550472,8.971189375871267,2.915932066929646,2.8799679516217647,3.175289357319856,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9728310485860151,83.06192018151286,136.80169414043428,45.60056471347809,-53.73977395892143,-53.73977395892143,0.1393883495397437,0.139388349902886,0.02716895141398492,0.36141512577350315,0.15167688968636603,83.06192018151286,45.60056471347809,0.2923113122658852,-53.73977395892143,-0.34448573050590664,0.139388349902886,0.02716895141398492,0.9728310485860151,0.8376068376068376,0.5767965090987466,0.16666665792528076,3.4607792361045204,0.17083396937773226,0.14209834983637587,0.0,0.0,0.0,0.0,0.699099196646458,0.36141512577350315,0.0,0.0
2.0,0.0,1048032593.0,156.0,2.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.132090967435103,2.1162521059696493,1.9335906872382531,2.082248174227201,0.7862359147805434,0.7862359147805434,3.0477831569046545,1.0644630801935608,0.9795018220081543,1.0038182547029395,3.0477831569046545,1.0644630801935608,0.9795018220081543,1.0038182547029395,2.8339227322751706,0.5123819007705419,1.12530988190944,1.1962309495951884,0.5383069014702088,0.13106885093909043,0.21898937531006643,0.18824867522105193,3.06169306111928,1.0689311363758185,0.9810106113839608,1.0117513133595004,1.998838572930067,0.7333884453162168,0.6483831963477991,0.617066931266051,5.046621729810842,1.797851528112705,1.6278850208394802,1.6208851808586564,2.0434144139289856,0.6820490514047635,0.6810105381867825,0.6803548243374397,8.805282216805677,3.077642566882647,2.8206650133316336,2.9069746365913978,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.97507476117582,92.09895462274554,137.063668255806,45.68788941860199,-44.964713633060455,-44.964713633060455,0.13804264067181976,0.13804264103340713,0.024925238824179952,0.35721681828682234,0.14952969633561727,92.09895462274554,45.68788941860199,0.29287108601667944,-44.964713633060455,-0.2882353438016696,0.13804264103340713,0.024925238824179952,0.97507476117582,0.8824786324786325,0.5630175160902656,0.16666665792528076,3.378105273717525,0.10922404352845079,0.16968252273574494,0.0,0.0,0.0,0.0,0.6811381379763285,0.35721681828682234,0.0,0.0
2.0,0.0,553321968.0,156.0,3.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.243828658110056,2.095648621901488,2.143150840432216,2.0050291957763524,0.9595083930553534,0.9595083930553534,3.0226049460948277,0.9898680361369864,1.0387543745768757,0.9939825353809656,3.0226049460948277,0.9898680361369864,1.0387543745768757,0.9939825353809656,2.8891771296755624,0.5891285384408175,1.1636194984118144,1.1364290928229308,0.569644610851239,0.2216944423241493,0.15352319524838373,0.1944269732787059,3.030355354317297,0.9783055454683609,1.0464767939530504,1.0055730148958855,1.9928835775607672,0.5996460249790778,0.7259475046243423,0.667290047957347,5.0154885250167585,1.5895140615220253,1.7647018837384307,1.6612725797563026,2.0142451882935486,0.6681009338070185,0.6827561810421638,0.6633880734443665,8.942258867697838,2.9126660418816104,3.062929469805497,2.9666633560107303,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9796574556480449,61.24045605182649,135.49254805564885,45.164182685216275,-74.25209200382233,-74.25209200382233,0.14874778136312355,0.14874778176101197,0.020342544351955212,0.382395029373658,0.15823461569444625,61.24045605182649,45.164182685216275,0.2895139915718992,-74.25209200382233,-0.47597494874245083,0.14874778176101197,0.020342544351955212,0.9796574556480449,0.8696581196581197,0.5970737492279142,0.16666665792528076,3.5824426832605694,0.18474537042886924,0.14497923832265436,0.0,0.0,0.0,0.0,0.6714150627645162,0.382395029373658,0.0,0.0
2.0,0.0,175834557.0,156.0,4.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.912467545423752,2.2163293694074335,2.390341226107035,2.3057969499092836,0.9597313213042724,0.9597313213042724,3.0952707012243663,1.0046410817079818,1.0719255327115742,1.0187040868048103,3.0952707012243663,1.0046410817079818,1.0719255327115742,1.0187040868048103,2.9325525872648144,0.5180577523289964,1.2292941203579688,1.1852007145778491,0.4961939068176808,0.19208260682912973,0.12364166592940307,0.18046963405914795,3.1038060571090917,1.0079173812977014,1.0763583220780277,1.0195303537333622,1.7964822214383345,0.579304196131535,0.7249559232821832,0.49222210202461636,4.891752920161264,1.5839452774574359,1.7968814517490757,1.5109261909547524,1.843564491527967,0.6108782872175559,0.6256491195123929,0.6070370847980181,9.505193006533842,3.0516460713667746,3.369163195292155,3.084383739874913,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.983576174065968,133.27461124777798,140.02689127445225,46.6756304248174,-6.752280026674271,-6.752280026674271,0.12650668070855858,0.1265066810376492,0.01642382593403194,0.3097292772470376,0.13783164214946916,133.27461124777798,46.6756304248174,0.29920275913344485,-6.752280026674271,-0.04328384632483507,0.1265066810376492,0.01642382593403194,0.983576174065968,0.8910256410256411,0.5532435590216339,0.16666665792528076,3.3194615282299686,0.16006884060586515,0.12671304291729282,0.0,0.0,0.0,0.0,0.614521497175989,0.3097292772470376,0.0,0.0
2.0,0.0,651100107.0,156.0,5.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.69471719631782,2.269581499772194,2.1930151971486898,2.2321204993969355,0.7132774820694556,0.7132774820694556,3.1206331935544043,1.073840171707651,1.0061480703477104,1.0406449514990435,3.1206331935544043,1.073840171707651,1.0061480703477104,1.0406449514990435,2.867911883820899,0.41098436238005376,1.1891156890644476,1.2678118323763976,0.4734827960148836,0.11492676803698906,0.1976960832491899,0.1608599447287046,3.126517167267127,1.0850732192779198,1.0023039044478002,1.0391400435414069,2.2577853004137673,0.8616573802935772,0.6931412816047668,0.7029866385154235,5.378418495448736,1.9354975536847725,1.69928934940925,1.7436315923547134,1.8884019676882486,0.6238211205181403,0.6458823799322813,0.6186984672378271,9.778899573362791,3.4279288901732516,3.1233199575008492,3.2276507256886897,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9868430723721604,152.8337224316597,141.60951115608216,47.20317038536072,11.224211275577545,11.224211275577545,0.11838230932101022,0.11838230962170061,0.013156927627839633,0.28436677914399366,0.1315230001972449,152.8337224316597,47.20317038536072,0.3025844255471841,11.224211275577545,0.07195007227934323,0.11838230962170061,0.013156927627839633,0.9868430723721604,0.8461538461538461,0.5477465355147381,0.16666665792528076,3.286479385458736,0.09577230764378723,0.14939834647093828,0.0,0.0,0.0,0.0,0.6294673225627496,0.28436677914399366,0.0,0.0
2.0,0.0,727424639.0,156.0,6.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.739051561707106,2.330394378075233,2.32454538001464,2.084111803617233,0.782023549079895,0.782023549079895,3.111250552444313,1.0676633049853337,1.0521207485013666,0.9914664989576126,3.111250552444313,1.0676633049853337,1.0521207485013666,0.9914664989576126,2.9780101790033187,0.49004605835757387,1.2832553535461044,1.2047087670996404,0.47744939839228606,0.1347881658719136,0.1415164971198791,0.20114473540049332,3.122550565367326,1.0652118221116371,1.058483491341273,0.9988552519144156,2.0251297721495995,0.70161650960262,0.7011358883136358,0.6223773742333437,5.136380333071336,1.7692798180266833,1.7532566365523217,1.6138438784923308,1.8801077546026461,0.6235119839891409,0.6221032929726136,0.6344924776408917,9.629489009196941,3.290414410523879,3.3094861667889814,3.029588431884081,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9762690608081758,150.59299996137622,141.0240332746506,47.008011091550195,9.568966686725616,9.568966686725616,0.12125559701012541,0.12125559732408646,0.023730939191824413,0.2937494331445449,0.13262483420189392,150.59299996137622,47.008011091550195,0.3013334044330141,9.568966686725616,0.061339530043112926,0.12125559732408646,0.023730939191824413,0.9762690608081758,0.8611111111111112,0.5362157524720299,0.16666665792528076,3.217294683573866,0.11232347266976127,0.14277551496468904,0.0,0.0,0.0,0.0,0.6267025848675487,0.2937494331445449,0.0,0.0
2.0,0.0,46370965.0,156.0,7.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,6.9496062726546555,2.363930794291007,2.3850753773481417,2.2006001010155067,0.8580941489109626,0.8580941489109626,3.107522122741032,1.0370606970615113,1.075042778160423,0.9954186475190979,3.107522122741032,1.0370606970615113,1.075042778160423,0.9954186475190979,2.9443558593734336,0.46743492705699724,1.273930721796858,1.2029902105195782,0.4820133760953561,0.15883109317376062,0.12310561193869664,0.2000766709828988,3.117986586959794,1.0411688942605486,1.0768943759135137,0.9999233167857314,2.04544358757826,0.6137556922741425,0.8229593130258414,0.6087285822782761,5.152965710295412,1.6508163868282468,1.8980020966309195,1.6041472268362458,1.8537352465284176,0.6169274803728629,0.6245185441504686,0.6122892220050861,9.78086451230905,3.2429209634279594,3.415498447723878,3.1224451011572127,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.980921336669908,146.005437759161,140.79137962818152,46.93045987606048,5.214058130979538,5.214058130979538,0.12032463371531076,0.12032463402032981,0.01907866333009202,0.2974778560491708,0.13389260579865164,146.005437759161,46.93045987606048,0.30083628125679795,5.214058130979538,0.033423449557561144,0.12032463402032981,0.01907866333009202,0.980921336669908,0.8653846153846154,0.5616159939519308,0.16666665792528076,3.369696140446471,0.13235924561926768,0.13465928588478793,0.0,0.0,0.0,0.0,0.6179117488428059,0.2974778560491708,0.0,0.0
2.0,0.0,155335242.0,156.0,8.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,7.374207977683116,2.478732859094938,2.4703265061745276,2.425148612413651,0.7095080056251624,0.7095080056251624,3.194713178496712,1.0729722912685993,1.0649837673379061,1.0567571198902068,3.194713178496712,1.0729722912685993,1.0649837673379061,1.0567571198902068,2.921092233972815,0.35393736491767835,1.2930140804785948,1.274140788576542,0.4027996838856966,0.11825099205359435,0.1394596420801603,0.14508904975194198,3.197200281258959,1.081748996120997,1.0605403463809917,1.0549109387569702,2.4407469974114346,0.9389249621293484,0.7511367912475879,0.7506852440344982,5.635460181639362,2.011897255308353,1.816120561498862,1.8074423648321476,1.8065764442659342,0.6029284170422798,0.5983050108338014,0.6053430163898529,10.551903263880657,3.648643802373837,3.4573366596148563,3.4459228018919625,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9847018795799597,220.02422592401507,146.23210135459902,48.74403378486633,73.79212456941605,73.79212456941605,0.09983804429058339,0.09983804454140421,0.01529812042004016,0.2102868061799269,0.11188880218888322,220.02422592401507,48.74403378486633,0.31246175503119444,73.79212456941605,0.47302643954753876,0.09983804454140421,0.01529812042004016,0.9847018795799597,0.7884615384615384,0.5510924617061294,0.16666665792528076,3.3065549436600126,0.09854249435166298,0.1185619561046831,0.0,0.0,0.0,0.0,0.6021921480886447,0.2102868061799269,0.0,0.0
2.0,0.0,1039931669.0,156.0,9.0,9525.0,3.599999964237213,1.199999988079071,1.199999988079071,1.199999988079071,7.658876393850033,2.5376180169674067,2.647177192645195,2.474081184237431,0.8612866890736115,0.8612866890736115,3.1972814427020078,1.0338639298167367,1.1152587502191846,1.0481587626660864,3.1972814427020078,1.0338639298167367,1.1152587502191846,1.0481587626660864,3.0150600778153884,0.39003517692431044,1.347837914354526,1.2771869865365517,0.39104748307130277,0.1630492519873839,0.08538715312114128,0.14261107796277755,3.208952480712189,1.0369507362110875,1.1146128347907693,1.0573889097103324,2.258870862233333,0.7296286385792953,0.7783822203293825,0.7508600033246554,5.456152306463665,1.7634925656259441,1.8936409707873678,1.799018770050353,1.7099947138474538,0.5633026995720007,0.5736221836354488,0.5730698306400043,10.7131031140303,3.5451355828688693,3.676764036600406,3.491203494561024,3.0,1.0,1.0,1.0,1.0,3.4049999237060544,0.0,0.0,0.0,0.0,0.9886871506733067,233.10174805402758,146.39236140728,48.79745380242666,86.70938664674759,86.70938664674759,0.09587166766920617,0.0958716679066891,0.011312849326693141,0.20771854321161898,0.10862430193029095,233.10174805402758,48.79745380242666,0.31280419104119656,86.70938664674759,0.5558294015817153,0.0958716679066891,0.011312849326693141,0.9886871506733067,0.811965811965812,0.5237584721520169,0.16666665792528076,3.1425509977336072,0.13587437799868568,0.09499926389282837,0.0,0.0,0.0,0.0,0.5699982379491513,0.20771854321161898,0.0,0.0
